title,rating
The Harvest/La Cosecha,7.1
Julija in alfa Romeo,5.7
Faith Connections,7.3
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,7.1
Crazy Stone,7.6
Scott Walker: 30 Century Man,7.2
Insomnia Manica,5.5
The Outrageous Sophie Tucker,7.3
Is America Still the Best Place to Live?,None
Alleluia! The Devil's Carnival,6.4
Born to Fly: Elizabeth Streb vs. Gravity,6.7
The Little Ponderosa Zoo,5.8
Mutual Friends,6.3
On Earth as It Is in Heaven - IMDb,None
Roadside,3.8
Gory Gory Hallelujah,4.1
Love in the Time of Monsters,5.1
Censored Voices,7.3
Rotor DR1,3.4
My Dog Tulip,6.8
The Big Swap,5.2
Ayurveda: Art of Being,7.5
Alice Through the Looking Glass,6.2
Amidst the Devil's Wings,4.2
Teeth and Blood,4.5
Bates Motel,8.1
The Sticky Fingers of Time,6.1
Ink,6.8
Jesus People: The Movie,5.2
Give Me Shelter,8.2
Little Big Top,6.0
Along the Roadside,6.8
Western Religion,3.9
The Business of Fancydancing,6.6
Shooting the Warwicks,6.1
One Hundred Years of Solitude,8.4
The Curious Case of...,4.0
Samantha: An American Girl Holiday,7.0
Theresa Is a Mother,6.9
High Potential,7.7
Archaeology of a Woman,6.3
Butterfly Girl,8.3
The World Is Mine,5.9
Perfect Cowboy,5.7
The Woman Chaser,7.0
When the Lights Went Out,5.3
Antarctic Edge: 70� South,6.8
Aroused,5.2
Top Spin,6.9
The Brain That Sings,8.3
The Blood of My Brother,6.4
A Dog's Breakfast,6.6
A Dog's Breakfast,6.6
A Married Woman,7.1
The Work and the Story,5.3
Over the Hill to the Poorhouse,5.1
Echo Dr.,3.5
"Peace, Propaganda & the Promised Land",8.2
Queen Crab,3.7
The Naked Ape,5.2
Counting Cars,7.0
The Call of Cthulhu,7.1
Bending Steel,7.8
The Image Revolution,7.1
Based on a True Story,7.2
Dawn of the Crescent Moon,5.5
"Run, Hide, Die",2.8
Funny Ha Ha,6.4
Manito,6.6
Dutch Kills,5.5
Dry Spell,6.8
Flywheel,6.7
The Ridges,3.0
Stories of Our Lives,7.6
Breaking Upwards,6.0
Tin Can Man,6.0
The Cure,7.7
On the Downlow,5.6
Sanctuary: Quite a Conundrum,5.2
The Big Bang Theory,8.1
"Signed, Sealed, Delivered",7.7
A Plague So Pleasant,5.6
