color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Dave Green,181,112,13,799,Noel Fisher,5000,245623848,Action|Adventure|Comedy|Sci-Fi,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows ,17533,8306,Brad Garrett,N/A,based on comic book|brother brother relationship|rat|sequel|turtle,http://www.imdb.com/title/tt3949660/?ref_=fn_tt_tt_1,115,English,USA,PG-13,135000000,2016,833,6.3,2.35,12000
Color,Joe Carnahan,29,117,N/A,432,Dirk Benedict,669,177238796,Action|Adventure|Crime,George Peppard,The A-Team             ,25402,1655,Dwight Schultz,4,1980s|cult tv|famous opening theme|good versus evil|hero for hire,http://www.imdb.com/title/tt0084967/?ref_=fn_tt_tt_1,97,English,USA,TV-PG,110000000,2010,554,7.6,4,0
N/A,Willis H. O'Brien,N/A,13,0,N/A,N/A,5,0,Comedy,Mathew Buck,"10,000 B.C.             ",6,5,N/A,0,N/A,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,N/A,English,USA,N/A,0,1917,N/A,7.2,N/A,0
Color,William Wyler,1,222,335,635,Ayelet Zurer,11000,164000000,Adventure|Drama|History,Morgan Freeman,Ben-Hur ,57,13379,Moises Arias,2,N/A,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,1,English,USA,PG-13,15000000,1959,745,6.1,2.35,0
Color,Ridley Scott,103,131,N/A,148,Scott Thompson,544,351692268,Crime|Drama|Horror|Mystery|Thriller,Caroline Dhavernas,Hannibal             ,159910,996,Hettienne Park,1,blood|cannibalism|fbi|manipulation|psychiatrist,http://www.imdb.com/title/tt2243973/?ref_=fn_tt_tt_1,270,English,USA,TV-14,87000000,2001,183,8.6,1.78,59000
Color,Bob Fosse,84,123,189,87,Ben Vereen,813,37823676,Comedy|Drama|Music|Musical,Roy Scheider,All That Jazz ,19228,1476,Max Wright,0,dancer|editing|stand up comedian|surgery|vomiting,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,146,English,USA,R,12000000,1979,388,7.8,1.85,0
Color,George A. Romero,127,120,0,602,Hal Holbrook,875,21028755,Comedy|Fantasy|Horror,Ted Danson,Creepshow ,29932,2662,Adrienne Barbeau,0,anthology|child abuse|critically acclaimed|death|grindhouse,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211,English,USA,R,8000000,1982,826,6.9,1.85,0
Color,Gary Winick,120,97,56,852,Julia Roberts,12000,148964660,Comedy|Family|Fantasy,Steve Buscemi,Charlotte's Web ,27838,23907,Oprah Winfrey,0,barn|pig|piglet|spider|uncle,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1,102,English,USA,G,85000000,2006,8000,6.4,1.85,0
N/A,Mark Steven Johnson,95,103,N/A,0,Royce Johnson,577,179179718,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,Daredevil             ,213483,581,Charlie Cox,0,corruption|lawyer|partnership|superhero|vigilante,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,394,English,USA,TV-MA,78000000,2003,4,8.8,16,55000
Color,Tony Scott,19,126,69,87,Stephen Dillane,898,180557550,Drama|Romance,Vanessa Redgrave,Déjà Vu ,666,1753,Michael Brandon,0,american|love|pin|ruby|stranger,http://www.imdb.com/title/tt0119033/?ref_=fn_tt_tt_1,40,English,UK,PG-13,75000000,2006,577,7,1.85,91
 Black and White,Nora Ephron,31,102,N/A,474,Agnes Moorehead,1000,131426169,Comedy|Family|Fantasy,Elizabeth Montgomery,Bewitched             ,11427,2614,Dick York,1,connecticut|magic|marriage|witch|witchcraft,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,71,English,USA,TV-G,85000000,2005,960,7.6,4,0
Color,Ivan Reitman,63,101,92,8,Roxane Duran,23,98376292,Drama|Horror|Mystery|Sci-Fi,Nissim Renard,Evolution ,979,54,Julie-Marie Parmentier,0,boy|giving birth|nurse|sea|ultrasonography,http://www.imdb.com/title/tt4291590/?ref_=fn_tt_tt_1,3,English,USA,N/A,80000000,2001,21,6.4,2.35,257
Color,Lee Tamahori,95,117,93,904,Harold Perrineau,12000,43300000,Action|Adventure|Drama|Thriller,Anthony Hopkins,The Edge ,55913,14831,Bart the Bear,2,bear|billionaire|crash|survival tactics|wilderness,http://www.imdb.com/title/tt0119051/?ref_=fn_tt_tt_1,182,English,USA,R,30000000,1997,1000,6.9,2.35,0
Color,Andrés Couturier,3,89,0,20,David Hoffman,163,4668442,Animation|Family,Sariann Monaco,Top Cat Begins ,230,370,Ben Diskin,0,N/A,http://www.imdb.com/title/tt4057916/?ref_=fn_tt_tt_1,1,Spanish,Mexico,PG,8000000,2015,94,4.4,N/A,138
Color,Francis Lawrence,12,121,N/A,218,Matt Ryan,1000,230900000,Drama|Fantasy|Horror|Thriller,Harold Perrineau,Constantine             ,36919,1990,Charles Halford,1,based on comic|based on comic book|dc arrowverse|dc comics|supernatural,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,94,English,USA,TV-14,100000000,2005,560,7.5,16,10000
Color,Daniel Espinosa,12,104,N/A,0,Brent Sexton,374,100541806,Crime|Drama|Mystery,Adam Arkin,Life             ,29450,504,Damian Lewis,1,cop|murder|partner|police|protective male,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1,67,English,USA,N/A,58000000,2017,130,8.3,N/A,0
Color,Àlex Pastor,130,84,10,394,Kiernan Shipka,3000,5805279,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,Carriers ,35510,4368,Lou Taylor Pucci,0,beach|disease|latex gloves|pandemic|virus,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,119,English,USA,PG-13,0,2009,552,6,2.35,0
Color,Tim Burton,39,105,N/A,160,Katia Winter,898,206071526,Adventure|Drama|Fantasy|Mystery|Thriller,Nicole Beharie,Sleepy Hollow             ,49049,1430,Lyndie Greenwood,0,apocalypse|death|husband wife relationship|mother son relationship|murder,http://www.imdb.com/title/tt2647544/?ref_=fn_tt_tt_1,110,English,USA,TV-14,100000000,1999,372,7.5,16,14000
Color,Dan St. Pierre,51,88,6,854,Oliver Platt,2000,18662027,Adventure|Animation|Family|Fantasy|Musical,Lea Michele,Legends of Oz: Dorothy's Return ,5116,6946,Jim Belushi,1,jester|kansas|oz|princess|tornado,http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1,54,English,USA,PG,70000000,2014,1000,5.6,N/A,5000
Color,Craig Gillespie,178,117,44,531,Abraham Benrubi,788,52099090,Action|Drama|History|Thriller,Michael Raymond-James,The Finest Hours ,27481,3524,Graham McTavish,0,1950s|coast guard|oil tanker|sinking ship|survival,http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1,113,English,USA,PG-13,80000000,2016,562,6.8,2.35,12000
Color,Jay Roach,190,114,116,982,Stephanie Szostak,7000,86387857,Comedy,Steve Carell,Dinner for Schmucks ,80338,10419,Bruce Greenwood,2,dinner|diorama|idiot|irs|mouse,http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1,264,English,USA,PG-13,69000000,2010,1000,5.9,1.85,0
Color,Walter Hill,4,101,N/A,359,Kaitlyn Dever,995,47267001,Comedy,Hector Elizondo,Last Man Standing             ,15114,2465,Nancy Travis,1,family relationships|husband wife relationship|live studio audience|sitcom|three word title,http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1,87,English,USA,TV-PG,67000000,1996,363,7.4,16,0
Color,Dan Bradley,97,93,468,919,Jennifer Grey,1000,44806783,Action|Drama|War,Lea Thompson,Red Dawn ,41776,3860,William Smith,0,guerrilla|high school|invasion|soviet|wolverine,http://www.imdb.com/title/tt0087985/?ref_=fn_tt_tt_1,383,English,USA,PG-13,65000000,2012,1000,6.4,1.85,0
Color,Ron Howard,14,135,N/A,575,James Nesbitt,1000,38364277,Crime|Drama|Mystery,Jason Flemyng,The Missing             ,8739,3537,Frances O'Connor,0,france|journalist|limp|police detective|reporter,http://www.imdb.com/title/tt3877200/?ref_=fn_tt_tt_1,28,English,USA,N/A,60000000,2003,773,8.1,N/A,0
Color,Walt Becker,177,100,12,311,Tichina Arnold,419,253625427,Action|Adventure|Comedy,Jill Hennessy,Wild Hogs ,99989,1412,Drew Sidora,3,biker gang|friend|motorcycle|new mexico|road trip,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255,English,USA,PG-13,60000000,2007,330,5.9,2.35,0
Color,William Friedkin,8,128,N/A,402,Oliver Hudson,732,71000000,Comedy|Romance,Bianca Kajlich,Rules of Engagement             ,26404,2064,Adhir Kalyan,3,fiance|fiancee|magazine editor|naivety|womanizer,http://www.imdb.com/title/tt0790772/?ref_=fn_tt_tt_1,41,English,USA,TV-PG,60000000,2000,607,7.3,1.78,0
Color,Kevin Macdonald,252,127,162,379,Harry Lennix,18000,87800000,Crime|Drama|Mystery|Thriller,Robin Wright,State of Play ,113295,19776,Michael Weston,3,congressman|conspiracy|newspaper|political conspiracy|subway,http://www.imdb.com/title/tt0473705/?ref_=fn_tt_tt_1,235,English,UK,PG-13,60000000,2009,748,7.1,2.35,0
Color,Robert Lorenz,239,111,39,461,Ed Lauter,16000,49000000,Drama|Sport,Clint Eastwood,Trouble with the Curve ,47954,17871,Bob Gunton,0,aging|baseball|baseball scout|north carolina|pitcher,http://www.imdb.com/title/tt2083383/?ref_=fn_tt_tt_1,150,English,USA,PG-13,60000000,2012,897,6.8,2.35,11000
Color,Tim Hill,77,86,25,265,Roger Rees,13000,141700000,Animation|Comedy|Family|Fantasy,Bill Murray,Garfield 2 ,27517,14918,Ben Falcone,0,cat|england|lti txii|peugeot 206|rover 3 5 litre.coupe p5b,http://www.imdb.com/title/tt0455499/?ref_=fn_tt_tt_1,74,English,USA,PG,60000000,2006,1000,5,1.85,470
Color,Tibor Takács,20,91,N/A,271,Soleil Moon Frye,870,0,Comedy|Family|Fantasy,Nate Richert,"Sabrina, the Teenage Witch             ",24420,2433,Caroline Rhea,1,female protagonist|hereditary gift of witchcraft|magic|supernatural|witch,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,94,English,USA,TV-G,0,1996,558,6.6,1.33,990
Color,Frank Coraci,53,119,153,11000,Adam Sandler,12000,0,Comedy|Western,Taylor Lautner,The Ridiculous 6 ,27019,36167,Jon Lovitz,4,apache|bank robbery|baseball|half brothers|white raised as indian,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,143,English,USA,TV-14,60000000,2015,11000,4.9,2.35,0
Color,Michael Patrick King,46,146,N/A,479,Kristin Davis,962,418800000,Comedy|Romance,Chris Noth,Sex and the City             ,80025,2558,Cynthia Nixon,0,casual sex|friendship|friendship between women|gay|singles,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,238,English,USA,TV-MA,65000000,2008,722,7,1.33,0
Color,Peter Segal,26,106,N/A,676,Noureen DeWulf,883,195745823,Comedy|Romance,Barry Corbin,Anger Management             ,26992,4115,Brian Austin Green,1,anger management|argument|irony|sarcasm|therapist,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,54,English,USA,N/A,75000000,2003,701,6.7,16,0
Color,Mario Philip Azzopardi,77,92,N/A,72,Don S. Davis,847,0,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Stargate SG-1             ,63982,1359,Gary Jones,4,2000s|21st century|alternate history|message from outer space|military,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,181,English,USA,TV-14,0,2009,440,8.4,1.33,0
 Black and White,Adrian Lyne,103,137,0,177,Shelley Winters,617,1100000,Crime|Drama|Romance,James Mason,Lolita ,67822,1403,Lois Maxwell,0,lolita|nymphet|older man young girl relationship|professor|writer,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,English,USA,Not Rated,62000000,1997,367,7.7,1.66,0
Color,Israel Temoche,66,16,13,534,Tom Berenger,13000,0,Crime|Horror|Mystery|Thriller,Sylvester Stallone,Eye See You ,19706,15803,Charles S. Dutton,1,drill in the eye|eye gouging|hanged woman|murder|peep hole,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1,142,Spanish,Peru,R,950,2024,854,5.3,2.35,448
Color,John Whitesell,71,93,14,728,Jorge Garcia,2000,47231070,Comedy|Family,Matthew Broderick,Deck the Halls ,15740,5468,Alia Shawkat,0,christmas|december|holiday|massachusetts|neighbor,http://www.imdb.com/title/tt0790604/?ref_=fn_tt_tt_1,110,English,USA,PG,51000000,2006,1000,4.9,1.85,1000
Color,Cameron Crowe,257,124,488,1000,Matt Damon,19000,120081841,Comedy|Drama|Family,Scarlett Johansson,We Bought a Zoo ,111003,36873,Stephanie Szostak,3,blocked road|father son relationship|love at first sight|teenage boy|zookeeper,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,199,English,USA,PG,50000000,2011,13000,7.1,1.85,22000
Color,Hideo Nakata,196,110,62,874,Gary Cole,6000,161451538,Horror|Mystery,Naomi Watts,The Ring Two ,71153,10163,Sissy Spacek,0,cartoon on tv|foreign language adaptation|second part|videotape|writer,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,560,English,USA,PG-13,50000000,2005,989,5.4,1.85,0
Color,Alexander Wilson-Flynn,2,15,N/A,132,Gemma Jones,416,0,Crime|Drama,Bernard Hill,Unforgotten             ,1824,1816,Nicola Walker,2,N/A,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,9,English,USA,N/A,0,2017,171,7.9,N/A,0
Color,Philip Kaufman,4,97,N/A,398,Brittany Curran,629,40954603,Drama|Mystery|Thriller,Grey Damon,Twisted             ,7945,2758,Aaron Hill,2,N/A,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,22,English,USA,N/A,50000000,2004,512,7.5,16,915
Color,Edward Zwick,28,137,N/A,600,Tony Curran,3000,51155219,Action|Drama|Sci-Fi,Julie Benz,Defiance             ,33535,5381,Grant Bowler,3,alien|alien invasion|planet invasion|post apocalypse|year 2046,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,149,English,USA,TV-MA,32000000,2008,845,7,1.78,0
Color,Howard McCain,30,115,N/A,184,Graham McTavish,1000,7033683,Drama|Romance|Sci-Fi,Tobias Menzies,Outlander             ,50391,1863,Stephen Walters,8,based on novel|clan|scotland|scottish highlands|year 1743,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,148,English,USA,TV-MA,50000000,2008,531,8.5,16,31000
Color,Jeff Pearson,195,84,628,830,Charlie Rowe,22000,0,Comedy|Drama|Music,Philip Seymour Hoffman,Pirate Radio ,90932,24316,Tom Sturridge,2,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1,209,English,USA,R,0,2006,882,7.4,2.35,21000
Color,Joe Wright,324,130,456,0,Guro Nagelhus Schia,2000,68929150,Drama|Romance,Kelly Macdonald,Anna Karenina ,70886,2035,Matthew Macfadyen,1,dance|infidelity|marriage|russia|russian,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,226,English,UK,R,40600000,2012,35,6.6,2.35,36000
Color,Chuck Bowman,32,89,42,235,Lochlyn Munro,598,0,Horror|Thriller,P.J. Soles,The Tooth Fairy ,1263,2353,Steve Bacic,0,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,32,German,Germany,N/A,0,2006,555,4.6,1.78,352
Color,Alastair Fothergill,34,90,375,59,Gulshan Grover,113,109000000,Drama|Romance|War,Nandita Das,Earth ,5639,371,Eric Peterson,0,friend|hindu|india|muslim|sikh,http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1,55,English,USA,Unrated,15000000,2007,102,7.8,N/A,522
Color,Ted Kotcheff,145,93,270,535,Brian Dennehy,13000,125212904,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172489,15192,Chris Mulkey,1,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,376,English,USA,R,15000000,1982,954,7.7,2.35,0
 Black and White,Steven Soderbergh,144,99,0,12,Anatoliy Solonitsyn,29,30002758,Drama|Mystery|Sci-Fi,Donatas Banionis,Solaris ,54057,95,Natalya Bondarchuk,0,hallucination|ocean|psychologist|scientist|space station,http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,236,English,USA,PG,47000000,2002,29,8.1,2.35,0
Color,Brad Furman,72,127,65,345,Amy Ryan,788,21011110,Biography|Crime|Drama|Thriller,Joseph Gilgun,The Infiltrator ,2581,2104,Olympia Dukakis,1,N/A,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,29,English,USA,R,28000000,2016,423,7.3,2.35,0
Color,Terence Young,10,140,92,522,Ben Gazzara,1000,5200000,Drama|History|War,Laurence Olivier,Inchon ,491,2704,Jacqueline Bisset,1,1950s|douglas macarthur|general|inchon|invasion,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,16,English,South Korea,PG,46000000,1981,623,2.7,2.35,115
Color,Melville Shavelson,8,111,5,559,Tom Bosley,6000,0,Comedy|Family,Lucille Ball,"Yours, Mine and Ours ",5888,7493,Tim Matheson,0,nurse|parent|sibling|widow|widower,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,61,English,USA,Unrated,0,1968,584,7.2,1.85,0
Color,Manuel Carballo,23,98,N/A,114,Clotilde Hesme,164,0,Drama|Fantasy|Horror|Mystery,Pierre Perrier,The Returned             ,15762,654,Céline Sallette,9,france|living dead|serial killer|small town|supernatural,http://www.imdb.com/title/tt2521668/?ref_=fn_tt_tt_1,47,English,Canada,TV-MA,0,2013,116,8.3,16,17000
Color,Lawrence Kasanoff,12,91,11,500,Larry Miller,719,73706,Action|Animation|Comedy|Family|Fantasy,Jerry Stiller,Foodfight! ,4377,3090,Harvey Fierstein,0,femme fatale|food|pun|supermarket|troubled production,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,66,English,USA,PG,65000000,2012,611,1.7,N/A,0
 Black and White,Bryan Spicer,4,108,N/A,253,Gavin MacLeod,870,4529843,Comedy|War,Tim Conway,McHale's Navy             ,1558,1610,Bob Hastings,1,american soldier|naval uniform|navy|patrol boat|uniform,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,18,English,USA,TV-G,0,1997,284,7.5,4,455
Color,Jamel Debbouze,9,100,326,6,Youssef Hajdi,326,16294916,Adventure|Animation|Comedy|Family,Jamel Debbouze,Animal Kingdom: Let's go Ape ,590,488,Mélissa Theuriau,0,ape|computer animation|evolution|first person title|reference to louis de funes,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,5,French,France,N/A,37580800,2015,152,4.9,N/A,161
Color,Nicholas Stoller,222,109,89,177,Mario Lopez,836,90029656,Comedy|Music,Pink,Get Him to the Greek ,147317,2091,Lino Facioli,2,concert|drugs|recession|record company|rock star,http://www.imdb.com/title/tt1226229/?ref_=fn_tt_tt_1,197,English,USA,R,40000000,2010,719,6.4,1.85,12000
Color,Marc Lawrence,175,104,30,664,Scott Porter,799,145896422,Comedy|Music|Romance,Brad Garrett,Music and Lyrics ,81334,2787,Haley Bennett,4,love|lyricist|singer|singing|song,http://www.imdb.com/title/tt0758766/?ref_=fn_tt_tt_1,291,English,USA,PG-13,40000000,2007,690,6.5,1.85,0
Color,Steve Gordon,3,97,N/A,12,Melissa Altro,51,95461682,Animation|Comedy|Family,Bruce Dinsmore,Arthur             ,8495,108,Daniel Brochu,0,based on children's book|best friend|character name in title|friend|one word title,http://www.imdb.com/title/tt0169414/?ref_=fn_tt_tt_1,43,English,USA,TV-Y,7000000,1981,21,7.4,1.33,301
Color,Malcolm D. Lee,88,103,92,706,Sean Hayes,1000,0,Comedy|Drama|Music,Bernie Mac,Soul Men ,7794,4103,Mike Epps,2,band|masturbation|reunion|singer|tribute,http://www.imdb.com/title/tt1111948/?ref_=fn_tt_tt_1,25,English,USA,R,0,2008,760,6.5,2.35,866
Color,Bibo Bergeron,63,90,10,541,Bob Balaban,1000,26611650,Adventure|Animation|Comedy|Fantasy|Music|Romance,Adam Goldberg,A Monster in Paris ,15790,3243,François Cluzet,0,belle epoque|city name in title|monster|paris france,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,40,French,France,PG,25000000,2011,559,6.8,1.85,0
Color,Jeff Nathanson,42,90,23,596,Glenn Morshower,2000,541330,Comedy,Matthew Broderick,The Last Shot ,3789,5240,Tim Blake Nelson,10,fbi|movie producer|sting operation|undercover|urination,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,39,English,USA,R,0,2004,894,5.7,1.85,89
Color,S. S. Rajamouli,44,159,50,72,Anushka Shetty,218,90747520,Action|Adventure|Drama|Fantasy|War,Tamannaah Bhatia,Baahubali: The Beginning ,62756,554,Prabhas,1,ancient india|dual role|good versus evil|hindu|kingdom,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,410,Telugu,India,N/A,25130430,2015,133,8.4,1.85,21000
Color,Michael Lehmann,110,102,36,433,Stephen Collins,747,69485490,Comedy|Romance,Colin Ferguson,Because I Said So ,32412,1930,Tom Everett Scott,1,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,184,English,USA,PG-13,0,2007,452,5.6,1.85,0
Color,Yuefeng Song,4,88,0,46,Bianca Collins,76,0,Adventure|Animation|Family|Fantasy,Blythe Auffarth,Dragon Nest: Warriors' Dawn ,2169,196,Jiao Xu,0,N/A,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,18,Mandarin,China,N/A,40000000,2014,47,6.4,N/A,0
Color,David Leland,21,93,2,217,Ryan Cartwright,4000,5410749,Adventure|Comedy|History|Romance,Hayden Christensen,Virgin Territory ,6691,4900,David Walliams,2,breasts|nude nun|plague|russian nobleman|two word title,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,28,English,USA,R,38000000,2007,476,4.8,1.85,366
Color,Fyodor Bondarchuk,14,115,35,30,Fedor Bondarchuk,463,21834845,Action|Adventure|Sci-Fi,Yuliya Snigir,Obitaemyy ostrov ,4387,599,Aleksey Serebryakov,0,22nd century|first part|friend|guard|space opera,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,21,Russian,Russia,N/A,36500000,2008,35,5.3,N/A,240
Color,Brett Ratner,5,97,N/A,452,Aimee Garcia,778,244721064,Action|Comedy|Crime,Jon Foo,Rush Hour             ,2185,2255,Wendie Malick,2,N/A,http://www.imdb.com/title/tt4085584/?ref_=fn_tt_tt_1,30,English,USA,TV-14,33000000,1998,618,5.8,16,0
Color,Kays Khalil,3,12,N/A,628,Kimberly Elise,897,0,Drama|Romance,Jodi Lyn O'Keefe,Hit the Floor             ,1641,3438,Logan Browning,4,affair|hip hop|sex scene,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,11,English,USA,N/A,0,2007,637,7,N/A,265
Color,Michael Ritchie,40,102,23,57,Vic Morrow,288,42349782,Comedy|Drama|Family|Sport,Tatum O'Neal,The Bad News Bears ,16323,677,Joyce Van Patten,1,baseball|california|coach|little league|swimming pool,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,91,English,USA,PG,9000000,1976,257,7.3,1.85,0
